,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
29,29,Sweden,"1,101,900",,"14,620 ",,"1,076,639",,"10,641",26,"108,374","1,438"
30,30,Romania,"1,083,711",+233,"34,297 ",+5,"1,047,915",+137,"1,499",60,"56,744","1,796"
31,31,Pakistan,"1,043,277","+3,582","23,529 ",+67,"944,375","+1,355","75,373","3,398","4,626",104
32,32,Portugal,"974,203","+2,076","17,397 ",+19,"909,330","+4,368","47,476",204,"95,845","1,712"
33,33,Japan,"944,763","+8,332","15,204 ",+7,"847,873","+5,093","81,686",754,"7,495",121
34,34,Israel,"882,391","+2,741","6,495 ",+8,"852,789",+674,"23,107",221,"94,616",696
35,35,Hungary,"809,672",+26,"30,029 ",+2,"749,461",+276,"30,182",10,"84,046","3,117"
36,36,Jordan,"773,657",+914,"10,071 ",+12,"752,349",+380,"11,237",629,"75,018",977
37,37,Serbia,"723,031",+424,"7,127 ",+5,"710,971",+152,"4,933",9,"83,115",819
38,38,Switzerland,"720,743","+1,059","10,907 ",,"692,431",,"17,405",44,"82,623","1,250"
39,39,Nepal,"702,097","+2,448","9,922 ",+24,"660,116","+1,994","32,059",,"23,636",334
40,40,UAE,"685,462","+1,548","1,960 ",+4,"662,660","+1,504","20,842",,"68,410",196
41,41,Austria,"660,262",+390,"10,742 ",+3,"644,038",+344,"5,482",33,"72,859","1,185"
42,42,Thailand,"652,185","+18,901","5,315 ",+147,"437,831","+18,590","209,039","4,893","9,318",76
43,43,Morocco,"642,683","+8,760","9,949 ",+64,"574,918","+5,466","57,816",689,"17,191",266
44,44,Tunisia,"596,775","+1,243","20,226 ",+159,"521,335","+4,504","55,214",630,"49,928","1,692"
45,45,Kazakhstan,"595,433","+7,481","6,153 ",+100,"489,135","+6,177","100,145",221,"31,305",323
46,46,Lebanon,"563,124",,"7,912 ",,"537,451",,"17,761",54,"82,907","1,165"
47,47,Saudi Arabia,"528,952","+1,075","8,270 ",+11,"510,107","+1,113","10,575","1,433","14,942",234
48,48,Greece,"501,030","+3,428","12,972 ",+14,"456,084","+2,593","31,974",191,"48,326","1,251"
49,49,Ecuador,"487,702",,"31,644 ",,"443,880",,"12,178",759,"27,195","1,765"
50,50,Bolivia,"474,538",+639,"17,859 ",+20,"409,768","+1,191","46,911",200,"40,060","1,508"
51,51,Paraguay,"453,031",,"15,086 ",,"422,050",,"15,895",325,"62,682","2,087"
52,52,Belarus,"448,335",+581,"3,483 ",+11,"442,380",+419,"2,472",,"47,463",369
53,53,Panama,"436,812",,"6,842 ",,"417,710",,"12,260",133,"99,540","1,559"
54,54,Georgia,"428,670","+4,827","5,910 ",+34,"388,893","+1,895","33,867",,"107,683","1,485"
55,55,Bulgaria,"425,541",,"18,222 ",,"398,617",,"8,702",82,"61,748","2,644"
56,56,Cuba,"413,251","+9,629","2,993 ",+80,"364,236","+7,538","46,022",357,"36,509",264
57,57,Costa Rica,"406,814",,"5,030 ",,"329,639",,"72,145",364,"79,076",978
58,58,Kuwait,"399,343",,"2,339 ",,"386,690",,"10,314",288,"92,036",539
59,59,Slovakia,"392,751",+41,"12,541 ",+1,"379,599",+35,611,8,"71,899","2,296"
60,60,Uruguay,"381,715",,"5,972 ",,"373,839",,"1,904",48,"109,474","1,713"
61,61,Guatemala,"370,258",,"10,448 ",,"326,004",,"33,806",5,"20,261",572
62,62,Croatia,"363,973",+186,"8,267 ",+1,"354,695",+127,"1,011",11,"89,259","2,027"
63,63,Azerbaijan,"345,882",+931,"5,034 ",+4,"333,492",+225,"7,356",,"33,783",492
64,64,Dominican Republic,"342,850",+190,"3,968 ",+5,"324,480",+253,"14,402",180,"31,265",362
65,65,Denmark,"319,295",+810,"2,550 ",,"305,519",+850,"11,226",8,"54,915",439
66,66,Palestine,"317,083",,"3,609 ",,"312,149",,"1,325",9,"60,632",690
